,uid,title.fr,description.fr,location.name,location.city,firstTiming.begin,firstTiming.end,nextTiming.begin,nextTiming.end,lastTiming.begin
0,84445,BLACK SEA DAHU + MEL D,"Folk, Pop",La Sirène,La Rochelle,2026-04-19 18:00:00+00:00,2026-04-19 23:00:00+00:00,2026-04-19 18:00:00+00:00,2026-04-19 23:00:00+00:00,2026-04-19 18:00:00+00:00
1,88012351,BLU SAMU + ADÉS THE PLANET,"Chanson, Rap",La Sirène,La Rochelle,2026-04-24 18:00:00+00:00,2026-04-24 23:00:00+00:00,2026-04-24 18:00:00+00:00,2026-04-24 23:00:00+00:00,2026-04-24 18:00:00+00:00
2,98449376,FATOUMATA DIAWARA + OKALI + TITOUAN L.C.S,"Afro, World",La Sirène,La Rochelle,2026-05-06 18:00:00+00:00,2026-05-06 23:00:00+00:00,2026-05-06 18:00:00+00:00,2026-05-06 23:00:00+00:00,2026-05-06 18:00:00+00:00
3,65098314,SCOTT McCLOUD + PIERRE CHAISSAC,Folk,Au Chaudron,La Rochelle,2026-05-12 17:30:00+00:00,2026-05-12 21:00:00+00:00,2026-05-12 17:30:00+00:00,2026-05-12 21:00:00+00:00,2026-05-12 17:30:00+00:00
4,71495690,THE YOUNG GODS + ARNAUD FOURNIER (SOLO),"Post-Rock, Rock",La Sirène,La Rochelle,2026-05-21 18:00:00+00:00,2026-05-21 23:00:00+00:00,2026-05-21 18:00:00+00:00,2026-05-21 23:00:00+00:00,2026-05-21 18:00:00+00:00
5,63189625,ANGINE DE POITRINE + BABY BERSERK + MYNAMEISLEONIDAS + DJ SET,"Electro, Rock",La Sirène,La Rochelle,2026-05-23 18:00:00+00:00,2026-05-23 23:00:00+00:00,2026-05-23 18:00:00+00:00,2026-05-23 23:00:00+00:00,2026-05-23 18:00:00+00:00
6,90998199,GHOST-NOTE,"Funk, Jazz",La Coursive,La Rochelle,2026-05-28 18:30:00+00:00,2026-05-28 21:30:00+00:00,2026-05-28 18:30:00+00:00,2026-05-28 21:30:00+00:00,2026-05-28 18:30:00+00:00
7,80860178,"SPECTACLE DE RUE : ""JOHNNY, UN POÈME"" + CONCERT : THE FLESHTONES + LIONEL LIMINANA DJ SET",Rock,La Sirène,La Rochelle,2026-05-29 18:00:00+00:00,2026-05-29 23:00:00+00:00,2026-05-29 18:00:00+00:00,2026-05-29 23:00:00+00:00,2026-05-29 18:00:00+00:00
8,44445923,L'HISSÉ'Ô 2026,"Chanson, Folk, Rap, Rock",La Sirène,La Rochelle,2026-06-05 17:00:00+00:00,2026-06-05 23:00:00+00:00,2026-06-05 17:00:00+00:00,2026-06-05 23:00:00+00:00,2026-06-05 17:00:00+00:00
9,32532358,16 HORSEPOWER + ELYSIAN FIELDS + BEFORE & AFTER CLUB,Rock,La Sirène,La Rochelle,2026-06-06 18:00:00+00:00,2026-06-06 23:00:00+00:00,2026-06-06 18:00:00+00:00,2026-06-06 23:00:00+00:00,2026-06-06 18:00:00+00:00
